frame,latency_ms,jitter_ms,size_bytes,timestamp_unix
214,284.2286,8.8875,39763,1770975224.369
215,284.2846,0.0560,39483,1770975224.409
216,291.4207,7.1361,39683,1770975224.456
217,284.6377,6.7830,39535,1770975224.489
218,292.6846,8.0469,39663,1770975224.537
219,293.8912,1.2066,39619,1770975224.578
220,283.1280,10.7632,39467,1770975224.607
221,291.1727,8.0447,39499,1770975224.655
222,283.3195,7.8533,39470,1770975224.687
223,289.3124,5.9929,39623,1770975224.733
224,285.4609,3.8514,39635,1770975224.769
225,282.7008,2.7602,39631,1770975224.806
226,283.7107,1.0099,39667,1770975224.847
227,284.8816,1.1709,39599,1770975224.888
228,291.0039,6.1224,39715,1770975224.934
229,290.9813,0.0226,39539,1770975224.974
230,291.1735,0.1922,39438,1770975225.014
231,296.1926,5.0192,39623,1770975225.054
232,297.3046,1.1120,39419,1770975225.095
233,292.4352,4.8695,39679,1770975225.13
234,300.3645,7.9293,39570,1770975225.178
235,292.5575,7.8070,39722,1770975225.21
236,300.6353,8.0779,39669,1770975225.258
237,296.7052,3.9301,39601,1770975225.294
238,289.8526,6.8526,39751,1770975225.327
239,295.9683,6.1157,39686,1770975225.373
240,282.2027,13.7656,39739,1770975225.399
241,282.4581,0.2553,39847,1770975225.439
242,293.6625,11.2045,39710,1770975225.49
243,286.8173,6.8452,39811,1770975225.523
244,290.9484,4.1311,39662,1770975225.567
245,283.0131,7.9353,39623,1770975225.599
246,292.1450,9.1319,39819,1770975225.648
247,294.3673,2.2223,39679,1770975225.69
248,293.5989,0.7684,39959,1770975225.729
249,307.7128,14.1139,39803,1770975225.783
250,301.8501,5.8627,39823,1770975225.817
251,288.8980,12.9521,39931,1770975225.844
252,282.0890,6.8090,39667,1770975225.877
253,290.2334,8.1444,39818,1770975225.925
254,298.4023,8.1689,39759,1770975225.973
255,280.6156,17.7867,39899,1770975225.995
256,287.5936,6.9780,39875,1770975226.037
257,277.7855,9.8081,39539,1770975226.067
258,287.9765,10.1910,39582,1770975226.117
259,280.0691,7.9074,39363,1770975226.149
260,294.3177,14.2486,39519,1770975226.203
261,286.3307,7.9870,39335,1770975226.235
262,289.4516,3.1209,39070,1770975226.278
263,280.6203,8.8313,38611,1770975226.309
264,286.6912,6.0709,38707,1770975226.355
265,287.9279,1.2367,38703,1770975226.396
266,286.0975,1.8303,38906,1770975226.434
267,280.1530,5.9445,39479,1770975226.468
268,280.3328,0.1798,39531,1770975226.508
269,291.5168,11.1840,39387,1770975226.559
270,291.7256,0.2089,39351,1770975226.599
271,287.9932,3.7324,38567,1770975226.635
272,292.1672,4.1740,38743,1770975226.679
273,297.3168,5.1496,38663,1770975226.724
274,298.4943,1.1775,38719,1770975226.765
275,287.6973,10.7970,38042,1770975226.794
276,297.9531,10.2558,37923,1770975226.844
277,279.9706,17.9825,37547,1770975226.866
278,293.1139,13.1433,37407,1770975226.919
279,289.1841,3.9299,38087,1770975226.955
280,283.3955,5.7886,37973,1770975226.989
281,286.8559,3.4604,37291,1770975227.028
282,280.9784,5.8775,37206,1770975227.063
283,283.2556,2.2771,37693,1770975227.105
284,290.5304,7.2749,38618,1770975227.152
285,289.7143,0.8161,38594,1770975227.191
286,288.9805,0.7339,39106,1770975227.23
287,288.1968,0.7837,39139,1770975227.269
288,295.4180,7.2212,39235,1770975227.316
289,285.6002,9.8178,39295,1770975227.346
290,288.6434,3.0432,39406,1770975227.389
291,292.8376,4.1943,39190,1770975227.433
292,281.9326,10.9050,39139,1770975227.462
293,285.1787,3.2461,39130,1770975227.505
294,295.4237,10.2451,39371,1770975227.555
295,285.4700,9.9537,39747,1770975227.585
296,288.6279,3.1579,39635,1770975227.628
297,293.7279,5.1000,39951,1770975227.673
298,288.8470,4.8809,39783,1770975227.708
299,293.7670,4.9200,40051,1770975227.753
300,290.6740,3.0930,40139,1770975227.79
301,287.3883,3.2856,39930,1770975227.827
302,285.3351,2.0533,39959,1770975227.866
303,288.2485,2.9135,39842,1770975227.91
304,287.1649,1.0836,40083,1770975227.949
305,282.2311,4.9338,40095,1770975227.984
306,287.5431,5.3120,40011,1770975228.025
307,290.6046,3.0615,40046,1770975228.068
308,292.7783,2.1737,39830,1770975228.11
309,295.8724,3.0942,40014,1770975228.153
310,288.8529,7.0195,40063,1770975228.186
311,301.0383,12.1853,39790,1770975228.238
312,293.2801,7.7581,39911,1770975228.27
313,286.4101,6.8700,39779,1770975228.303
314,289.5474,3.1374,39790,1770975228.346
315,296.6886,7.1411,39975,1770975228.393
316,289.9539,6.7346,39811,1770975228.426
317,297.0719,7.1180,39659,1770975228.473
318,285.2268,11.8451,39743,1770975228.501
319,287.3948,2.1679,39819,1770975228.543
320,296.4735,9.0787,39478,1770975228.592
321,291.6961,4.7774,39887,1770975228.627
322,307.7474,16.0513,39787,1770975228.683
323,290.9305,16.8169,39806,1770975228.706
324,291.1513,0.2208,39871,1770975228.746
325,291.1811,0.0298,39943,1770975228.786
326,288.3775,2.8036,39874,1770975228.823
327,289.6109,1.2333,39855,1770975228.864
328,299.5374,9.9266,39938,1770975228.914
329,284.6820,14.8554,40083,1770975228.939
330,290.6585,5.9764,40055,1770975228.985
331,285.4927,5.1658,39990,1770975229.015
332,285.6505,0.1578,40274,1770975229.055
333,288.8021,3.1517,40095,1770975229.099
334,303.8692,15.0671,40091,1770975229.154
335,285.9352,17.9341,39979,1770975229.176
336,285.0721,0.8631,40155,1770975229.215
337,286.2694,1.1973,39878,1770975229.256
338,294.9257,8.6563,39875,1770975229.305
339,297.7979,2.8722,39599,1770975229.349
340,291.5277,6.2702,39719,1770975229.384
341,294.5693,3.0415,39663,1770975229.428
342,294.6877,0.1185,39475,1770975229.468
343,282.4435,12.2442,39942,1770975229.496
344,290.5719,8.1284,39683,1770975229.544
345,302.7322,12.1603,39539,1770975229.596
346,298.8901,3.8421,39627,1770975229.632
347,311.0292,12.1391,39479,1770975229.684
348,298.9655,12.0637,39217,1770975229.712
349,306.1826,7.2172,39018,1770975229.759
350,289.3691,16.8135,39691,1770975229.782
351,281.5983,7.7708,39826,1770975229.814
352,286.7200,5.1217,39719,1770975229.859
353,301.8143,15.0943,39315,1770975229.914
354,292.9752,8.8391,39783,1770975229.945
355,294.1108,1.1356,39147,1770975229.986
356,287.6642,6.4466,38575,1770975230.015
