seq,rtt_ms,inter_arrival_ms,timestamp
340,57.022,58.937,1770976444.918028
341,62.880,64.862,1770976444.982890
342,61.929,65.026,1770976445.047916
343,54.731,58.020,1770976445.105936
344,55.396,57.270,1770976445.163206
345,53.744,55.710,1770976445.218916
346,55.090,59.072,1770976445.277988
347,53.869,55.895,1770976445.333883
348,54.296,56.102,1770976445.389985
349,57.267,59.027,1770976445.449012
350,53.955,56.052,1770976445.505064
351,54.036,55.999,1770976445.561063
352,54.896,56.808,1770976445.617871
353,54.118,56.063,1770976445.673934
354,52.932,54.993,1770976445.728927
355,54.986,56.925,1770976445.785851
356,53.329,55.207,1770976445.841058
357,55.094,57.839,1770976445.898898
358,53.108,54.989,1770976445.953887
359,81.099,82.961,1770976446.036848
360,53.961,57.034,1770976446.093882
361,52.498,55.105,1770976446.148987
362,55.157,57.116,1770976446.206102
363,53.919,55.816,1770976446.261919
364,54.873,57.089,1770976446.319007
365,58.248,60.214,1770976446.379221
366,56.332,58.724,1770976446.437945
367,59.069,60.987,1770976446.498932
368,57.235,59.049,1770976446.557981
369,58.026,59.968,1770976446.617950
370,50.801,52.925,1770976446.670874
371,52.304,54.167,1770976446.725041
372,60.887,62.818,1770976446.787859
373,72.149,75.115,1770976446.862974
374,61.679,64.930,1770976446.927904
375,56.058,59.059,1770976446.986963
376,53.065,55.122,1770976447.042085
377,53.898,55.909,1770976447.097994
378,53.953,55.894,1770976447.153888
379,51.262,53.043,1770976447.206931
380,59.278,61.078,1770976447.268009
381,56.015,57.880,1770976447.325889
382,60.231,62.027,1770976447.387916
383,55.938,58.985,1770976447.446901
384,57.444,59.211,1770976447.506112
385,56.179,59.744,1770976447.565856
386,54.288,56.073,1770976447.621929
387,54.187,55.977,1770976447.677905
388,54.157,56.012,1770976447.733917
389,53.281,55.187,1770976447.789105
390,57.043,58.788,1770976447.847892
391,55.997,58.007,1770976447.905900
392,53.524,55.160,1770976447.961060
393,55.969,57.922,1770976448.018981
394,58.829,60.974,1770976448.079955
395,59.299,61.317,1770976448.141273
396,52.053,53.901,1770976448.195174
397,56.479,58.722,1770976448.253896
398,58.144,60.011,1770976448.313907
399,54.288,56.224,1770976448.370131
400,49.874,51.819,1770976448.421950
401,50.049,51.878,1770976448.473828
402,54.491,56.271,1770976448.530099
403,54.875,56.860,1770976448.586959
404,57.053,58.939,1770976448.645898
405,55.095,56.983,1770976448.702881
406,57.526,59.388,1770976448.762269
407,56.715,58.580,1770976448.820850
408,54.546,56.297,1770976448.877147
409,54.092,55.903,1770976448.933050
410,54.072,55.917,1770976448.988967
411,56.376,58.090,1770976449.047057
412,56.068,59.870,1770976449.106927
413,53.290,55.023,1770976449.161950
414,54.277,56.045,1770976449.217995
415,58.135,59.994,1770976449.277989
416,56.274,57.999,1770976449.335989
417,56.257,57.969,1770976449.393958
418,66.163,68.011,1770976449.461969
419,57.078,60.226,1770976449.522195
420,53.838,55.895,1770976449.578090
421,56.070,57.912,1770976449.636002
422,56.307,58.157,1770976449.694159
423,60.652,62.936,1770976449.757095
424,56.637,59.793,1770976449.816888
425,54.191,56.161,1770976449.873049
426,54.111,55.941,1770976449.928990
427,54.066,56.021,1770976449.985011
428,54.557,56.427,1770976450.041439
429,54.521,56.448,1770976450.097887
430,53.161,55.088,1770976450.152974
431,54.064,55.969,1770976450.208943
432,55.216,57.062,1770976450.266005
433,53.011,54.900,1770976450.320906
434,54.450,56.269,1770976450.377175
435,54.565,56.703,1770976450.433878
436,49.349,51.113,1770976450.484992
437,54.057,55.922,1770976450.540913
438,55.379,57.158,1770976450.598071
439,54.235,55.958,1770976450.654029
440,57.951,59.913,1770976450.713942
441,60.153,62.006,1770976450.775948
442,54.862,57.999,1770976450.833947
443,58.265,60.029,1770976450.893977
444,59.111,60.994,1770976450.954971
445,67.837,69.961,1770976451.024932
446,52.953,56.030,1770976451.080962
447,55.112,56.989,1770976451.137951
448,62.038,64.138,1770976451.202089
449,61.531,64.989,1770976451.267078
450,55.027,58.047,1770976451.325125
451,50.814,52.833,1770976451.377958
452,55.319,56.984,1770976451.434942
453,60.195,62.072,1770976451.497015
454,53.621,56.915,1770976451.553930
455,52.092,54.099,1770976451.608029
