seq,rtt_ms,inter_arrival_ms,timestamp
224,52.253,54.032,1770976235.424114
225,57.181,59.171,1770976235.483285
226,63.711,65.981,1770976235.549267
227,53.689,57.016,1770976235.606282
228,55.856,58.169,1770976235.664451
229,56.634,58.852,1770976235.723303
230,48.714,50.991,1770976235.774294
231,58.651,60.793,1770976235.835087
232,56.773,58.975,1770976235.894062
233,54.212,56.101,1770976235.950162
234,54.225,56.193,1770976236.006356
235,55.729,57.972,1770976236.064328
236,57.719,59.956,1770976236.124284
237,56.793,59.019,1770976236.183303
238,48.819,50.972,1770976236.234275
239,54.826,57.012,1770976236.291286
240,52.913,55.102,1770976236.346389
241,54.799,56.945,1770976236.403334
242,55.754,57.954,1770976236.461287
243,54.616,56.755,1770976236.518042
244,54.214,56.024,1770976236.574066
245,54.284,56.251,1770976236.630317
246,53.760,56.072,1770976236.686389
247,53.660,55.946,1770976236.742336
248,53.743,55.949,1770976236.798285
249,53.758,56.031,1770976236.854316
250,56.732,58.939,1770976236.913255
251,57.028,59.143,1770976236.972398
252,57.743,59.932,1770976237.032330
253,51.512,53.748,1770976237.086078
254,75.164,77.041,1770976237.163119
255,58.155,61.177,1770976237.224296
256,57.808,60.035,1770976237.284330
257,55.629,57.985,1770976237.342315
258,54.826,57.043,1770976237.399358
259,53.814,55.964,1770976237.455322
260,52.812,54.979,1770976237.510301
261,54.814,57.069,1770976237.567370
262,56.491,58.922,1770976237.626292
263,55.299,57.716,1770976237.684008
264,52.372,54.058,1770976237.738065
265,54.287,56.326,1770976237.794392
266,53.859,56.012,1770976237.850403
267,54.152,56.566,1770976237.906970
268,58.600,60.436,1770976237.967406
269,59.500,61.921,1770976238.029326
270,54.839,57.087,1770976238.086414
271,63.560,65.947,1770976238.152360
272,52.645,55.974,1770976238.208335
273,57.681,59.775,1770976238.268110
274,57.445,59.238,1770976238.327348
275,54.658,57.002,1770976238.384350
276,57.615,59.977,1770976238.444327
277,67.712,69.980,1770976238.514307
278,57.579,61.002,1770976238.575308
279,56.635,58.967,1770976238.634276
280,50.594,52.854,1770976238.687129
281,55.169,57.210,1770976238.744339
282,57.387,59.690,1770976238.804029
283,57.162,59.150,1770976238.863179
284,53.364,55.155,1770976238.918334
285,53.731,55.975,1770976238.974310
286,57.741,60.004,1770976239.034314
287,54.446,56.691,1770976239.091005
288,57.151,59.391,1770976239.150395
289,53.712,55.983,1770976239.206378
290,56.732,58.940,1770976239.265318
291,55.947,58.006,1770976239.323324
292,58.383,60.853,1770976239.384177
293,57.231,58.958,1770976239.443135
294,54.167,56.129,1770976239.499264
295,53.962,56.068,1770976239.555331
296,58.741,61.034,1770976239.616366
297,51.494,53.770,1770976239.670135
298,54.059,56.105,1770976239.726240
299,54.937,57.084,1770976239.783324
300,57.699,60.040,1770976239.843365
301,57.683,59.951,1770976239.903316
302,57.398,59.754,1770976239.963070
303,59.350,61.131,1770976240.024200
304,57.118,59.068,1770976240.083268
305,52.969,55.073,1770976240.138341
306,53.687,56.002,1770976240.194343
307,54.710,57.005,1770976240.251348
308,52.550,55.026,1770976240.306373
309,54.996,57.114,1770976240.363488
310,52.269,54.823,1770976240.418311
311,54.941,57.264,1770976240.475574
312,57.081,59.507,1770976240.535081
313,59.178,61.008,1770976240.596089
314,56.114,58.082,1770976240.654171
315,55.338,57.314,1770976240.711485
316,53.605,55.838,1770976240.767323
317,53.841,56.023,1770976240.823347
318,56.626,58.829,1770976240.882176
319,53.130,55.173,1770976240.937349
320,51.033,53.262,1770976240.990612
321,58.487,60.781,1770976241.051392
322,52.233,54.674,1770976241.106066
323,54.143,56.047,1770976241.162113
324,50.217,52.022,1770976241.214135
325,54.123,56.193,1770976241.270328
326,54.652,57.013,1770976241.327341
327,53.683,55.976,1770976241.383317
328,57.724,60.022,1770976241.443338
329,49.698,51.988,1770976241.495327
330,53.654,55.990,1770976241.551316
331,57.762,60.035,1770976241.611352
332,57.419,59.766,1770976241.671118
333,53.011,54.976,1770976241.726094
334,50.203,52.063,1770976241.778157
335,53.981,56.241,1770976241.834398
336,54.647,56.946,1770976241.891343
337,53.834,56.080,1770976241.947423
338,52.748,55.031,1770976242.002455
339,53.657,55.926,1770976242.058380
340,55.657,57.955,1770976242.116336
341,55.765,58.082,1770976242.174418
342,50.745,52.986,1770976242.227404
343,53.365,55.675,1770976242.283079
344,53.238,55.131,1770976242.338210
345,54.008,56.006,1770976242.394216
346,55.024,57.116,1770976242.451332
347,53.625,56.015,1770976242.507347
348,57.731,60.050,1770976242.567398
349,56.707,59.076,1770976242.626474
350,53.440,55.644,1770976242.682117
351,54.308,56.282,1770976242.738399
352,54.676,60.017,1770976242.798416
353,53.443,55.704,1770976242.854120
354,55.116,57.060,1770976242.911181
355,53.032,55.045,1770976242.966226
356,53.998,56.157,1770976243.022382
357,53.784,56.030,1770976243.078413
358,53.597,55.936,1770976243.134349
359,54.765,57.061,1770976243.191410
360,58.681,60.972,1770976243.252383
361,56.749,59.048,1770976243.311430
362,56.615,58.906,1770976243.370337
363,49.534,51.860,1770976243.422196
364,59.105,60.885,1770976243.483082
365,56.338,58.329,1770976243.541410
366,56.594,58.902,1770976243.600312
367,48.881,51.200,1770976243.651512
368,50.589,52.941,1770976243.704453
369,53.516,55.977,1770976243.760430
370,52.646,54.933,1770976243.815363
371,56.793,59.099,1770976243.874462
372,54.548,56.887,1770976243.931350
373,63.407,65.748,1770976243.997097
374,54.053,57.058,1770976244.054155
375,59.213,61.007,1770976244.115163
376,54.188,56.248,1770976244.171411
377,52.775,55.018,1770976244.226429
378,57.738,59.975,1770976244.286404
379,54.744,56.993,1770976244.343397
380,52.712,54.977,1770976244.398374
381,53.817,56.053,1770976244.454426
382,55.406,57.946,1770976244.512372
383,56.395,58.674,1770976244.571047
384,58.285,60.134,1770976244.631181
385,57.946,59.992,1770976244.691173
386,58.161,60.229,1770976244.751401
387,57.674,60.039,1770976244.811440
388,52.667,54.917,1770976244.866358
389,53.642,56.007,1770976244.922365
390,49.825,52.108,1770976244.974472
391,57.551,59.899,1770976245.034371
392,57.725,60.052,1770976245.094423
393,63.406,65.714,1770976245.160137
394,51.738,55.027,1770976245.215164
395,53.027,55.063,1770976245.270227
396,54.097,56.111,1770976245.326339
397,53.686,56.069,1770976245.382408
398,57.751,59.980,1770976245.442388
399,53.720,56.016,1770976245.498404
400,58.692,61.021,1770976245.559425
401,56.729,58.969,1770976245.618394
402,54.523,56.753,1770976245.675147
403,52.924,54.944,1770976245.730091
404,54.253,56.022,1770976245.786113
405,54.219,56.063,1770976245.842176
406,56.121,58.258,1770976245.900434
407,56.723,59.000,1770976245.959435
408,59.644,61.959,1770976246.021394
409,56.460,58.950,1770976246.080344
410,59.671,62.000,1770976246.142344
411,50.748,53.109,1770976246.195454
412,52.343,54.933,1770976246.250386
413,53.428,55.749,1770976246.306136
414,54.257,56.067,1770976246.362202
415,71.329,73.255,1770976246.435458
416,55.344,58.937,1770976246.494395
417,53.738,55.984,1770976246.550379
418,53.808,55.999,1770976246.606377
419,54.730,57.075,1770976246.663452
420,54.846,56.967,1770976246.720419
421,56.689,58.972,1770976246.779392
422,54.654,56.815,1770976246.836206
423,55.844,58.008,1770976246.894214
424,55.220,56.930,1770976246.951144
425,53.177,55.084,1770976247.006228
426,52.258,54.144,1770976247.060372
427,57.742,60.016,1770976247.120388
428,57.828,60.010,1770976247.180398
429,51.659,54.000,1770976247.234398
430,55.746,57.983,1770976247.292381
431,49.646,52.027,1770976247.344409
432,57.574,59.978,1770976247.404387
433,55.787,58.000,1770976247.462387
434,54.020,56.712,1770976247.519099
435,58.701,60.415,1770976247.579513
436,53.555,55.843,1770976247.635356
437,53.810,56.077,1770976247.691434
438,56.564,58.941,1770976247.750375
439,54.955,57.193,1770976247.807567
440,57.664,59.847,1770976247.867414
441,57.809,60.016,1770976247.927430
442,57.298,59.905,1770976247.987335
443,56.527,58.807,1770976248.046143
444,57.811,60.046,1770976248.106189
445,53.892,56.011,1770976248.162199
446,50.183,52.239,1770976248.214438
447,49.596,51.971,1770976248.266410
448,54.857,57.057,1770976248.323467
449,52.696,54.997,1770976248.378463
450,53.671,55.915,1770976248.434378
451,58.668,61.009,1770976248.495388
452,58.322,60.546,1770976248.555933
453,57.210,59.453,1770976248.615386
454,57.492,59.791,1770976248.675177
455,53.102,55.041,1770976248.730218
456,55.228,57.176,1770976248.787394
457,53.663,55.972,1770976248.843366
458,59.953,61.992,1770976248.905357
459,53.754,57.014,1770976248.962372
460,53.741,55.978,1770976249.018350
461,53.798,56.064,1770976249.074414
462,53.761,55.976,1770976249.130390
463,53.839,56.074,1770976249.186464
464,59.500,61.702,1770976249.248166
465,48.572,50.339,1770976249.298505
466,50.762,52.939,1770976249.351443
467,52.915,55.009,1770976249.406452
468,53.761,55.987,1770976249.462440
469,53.809,55.950,1770976249.518390
470,58.760,61.025,1770976249.579415
471,58.887,61.041,1770976249.640455
472,56.764,59.053,1770976249.699508
473,58.577,60.912,1770976249.760420
474,55.631,57.790,1770976249.818210
475,55.100,57.009,1770976249.875219
476,54.188,56.161,1770976249.931380
477,60.806,63.097,1770976249.994477
478,48.488,51.942,1770976250.046418
479,54.603,56.999,1770976250.103418
480,56.890,59.016,1770976250.162434
481,49.526,52.014,1770976250.214448
482,49.663,52.001,1770976250.266449
483,57.483,59.973,1770976250.326423
484,50.539,52.737,1770976250.379160
485,57.080,59.140,1770976250.438300
486,55.182,57.119,1770976250.495419
487,53.671,55.965,1770976250.551384
488,52.909,55.102,1770976250.606486
489,53.533,55.971,1770976250.662457
490,54.660,56.969,1770976250.719427
491,58.568,61.030,1770976250.780457
492,56.722,58.987,1770976250.839444
493,58.670,60.976,1770976250.900420
494,56.389,58.679,1770976250.959099
495,53.064,55.108,1770976251.014207
496,54.176,56.191,1770976251.070398
497,267.726,270.136,1770976251.340534
498,55.141,58.891,1770976251.399425
499,62.864,65.115,1770976251.464540
500,53.928,57.528,1770976251.522067
501,58.249,60.099,1770976251.582166
502,50.017,52.045,1770976251.634211
503,55.818,58.215,1770976251.692425
504,56.002,58.433,1770976251.750858
505,58.151,60.536,1770976251.811394
506,53.583,55.995,1770976251.867388
507,52.799,55.035,1770976251.922423
508,58.576,60.983,1770976251.983406
509,52.596,55.037,1770976252.038443
510,63.365,65.712,1770976252.104155
511,54.900,57.968,1770976252.162123
512,59.467,61.428,1770976252.223551
513,58.456,60.911,1770976252.284461
514,56.736,59.054,1770976252.343515
515,52.703,54.896,1770976252.398412
516,53.699,56.072,1770976252.454483
517,53.650,55.970,1770976252.510454
518,58.574,60.981,1770976252.571434
519,52.655,54.976,1770976252.626410
520,65.483,67.862,1770976252.694273
521,53.226,56.327,1770976252.750600
522,53.169,55.827,1770976252.806426
523,54.371,56.843,1770976252.863269
524,55.210,57.307,1770976252.920576
525,55.702,57.988,1770976252.978564
526,56.808,59.107,1770976253.037670
527,59.508,61.858,1770976253.099529
528,52.674,54.953,1770976253.154482
529,61.912,64.129,1770976253.218611
530,55.987,59.619,1770976253.278230
531,53.889,56.000,1770976253.334230
532,53.838,56.252,1770976253.390481
533,63.847,66.168,1770976253.456649
534,58.298,61.816,1770976253.518465
535,54.719,56.991,1770976253.575456
536,52.643,55.018,1770976253.630473
537,54.844,57.058,1770976253.687531
538,59.586,61.911,1770976253.749442
539,66.586,69.008,1770976253.818451
540,58.374,60.767,1770976253.879218
541,55.143,57.069,1770976253.936287
542,57.143,59.230,1770976253.995517
543,52.532,54.940,1770976254.050457
544,54.832,57.043,1770976254.107501
545,52.569,54.918,1770976254.162419
546,53.076,55.356,1770976254.217774
547,60.354,62.697,1770976254.280472
548,54.500,57.976,1770976254.338448
549,53.673,56.017,1770976254.394465
550,53.515,55.763,1770976254.450228
551,61.169,63.127,1770976254.513355
552,50.862,54.147,1770976254.567502
553,56.590,58.890,1770976254.626392
554,54.958,57.205,1770976254.683598
555,56.652,58.915,1770976254.742512
556,57.338,59.916,1770976254.802428
557,57.889,60.022,1770976254.862450
558,57.770,60.055,1770976254.922505
559,54.747,56.920,1770976254.979425
560,57.208,59.512,1770976255.038936
561,59.663,61.482,1770976255.100418
562,55.804,58.136,1770976255.158555
563,61.611,63.935,1770976255.222490
564,62.443,65.974,1770976255.288464
565,54.445,58.041,1770976255.346505
566,64.639,66.978,1770976255.413483
567,53.350,56.933,1770976255.470416
568,65.859,68.075,1770976255.538491
569,53.482,57.036,1770976255.595528
570,57.792,59.727,1770976255.655255
571,53.020,55.078,1770976255.710332
572,55.069,57.174,1770976255.767507
573,52.791,55.043,1770976255.822549
574,53.400,55.704,1770976255.878253
575,56.167,58.291,1770976255.936545
576,55.599,58.026,1770976255.994570
577,57.574,59.950,1770976256.054520
578,53.518,55.913,1770976256.110433
579,54.523,56.877,1770976256.167310
580,53.032,55.009,1770976256.222320
581,53.860,56.025,1770976256.278345
582,56.932,59.160,1770976256.337504
583,61.681,64.061,1770976256.401566
584,50.375,53.934,1770976256.455499
585,56.633,58.948,1770976256.514448
586,49.412,51.987,1770976256.566435
587,53.762,56.023,1770976256.622458
588,53.391,55.876,1770976256.678334
589,51.800,53.971,1770976256.732305
590,52.849,54.981,1770976256.787286
591,58.987,60.893,1770976256.848179
592,57.122,59.280,1770976256.907459
593,57.948,60.222,1770976256.967681
594,64.408,66.789,1770976257.034470
595,52.511,56.099,1770976257.090570
596,54.599,56.970,1770976257.147539
597,57.726,60.021,1770976257.207560
598,58.939,61.245,1770976257.268806
599,56.305,58.680,1770976257.327486
600,57.630,59.767,1770976257.387253
601,59.168,61.002,1770976257.448255
602,53.193,55.233,1770976257.503487
603,56.744,59.018,1770976257.562505
604,57.625,59.923,1770976257.622429
605,55.562,57.831,1770976257.680259
606,52.393,54.296,1770976257.734555
607,54.650,56.893,1770976257.791448
608,63.818,66.106,1770976257.857554
609,55.043,58.671,1770976257.916225
610,52.982,55.016,1770976257.971241
611,54.184,56.016,1770976258.027257
612,53.224,55.238,1770976258.082495
613,54.695,57.083,1770976258.139578
614,56.472,58.849,1770976258.198427
615,55.670,58.027,1770976258.256454
616,51.660,54.068,1770976258.310523
617,56.677,58.951,1770976258.369474
618,51.641,54.060,1770976258.423534
619,50.879,53.037,1770976258.476572
620,55.488,57.721,1770976258.534293
621,55.231,57.022,1770976258.591315
622,58.123,60.262,1770976258.651577
623,56.372,58.996,1770976258.710573
624,53.482,55.928,1770976258.766501
625,59.689,61.976,1770976258.828478
626,55.521,59.043,1770976258.887521
627,63.913,65.967,1770976258.953488
628,60.523,64.005,1770976259.017493
629,55.308,58.785,1770976259.076278
630,60.163,62.073,1770976259.138350
631,52.585,55.918,1770976259.194268
632,54.293,56.321,1770976259.250589
633,53.432,55.867,1770976259.306456
634,53.858,56.097,1770976259.362553
635,52.675,54.927,1770976259.417480
636,55.826,58.025,1770976259.475504
637,63.727,66.035,1770976259.541540
638,54.548,57.923,1770976259.599463
639,54.649,56.889,1770976259.656352
640,58.072,59.961,1770976259.716313
641,53.192,54.977,1770976259.771290
642,55.181,57.248,1770976259.828538
643,56.516,58.904,1770976259.887442
644,57.824,60.108,1770976259.947551
645,58.907,61.115,1770976260.008666
646,55.753,58.053,1770976260.066719
647,54.469,56.724,1770976260.123442
648,53.824,56.054,1770976260.179496
649,49.589,51.753,1770976260.231249
650,53.328,55.054,1770976260.286304
651,58.250,59.987,1770976260.346291
652,54.197,56.170,1770976260.402460
653,53.825,56.262,1770976260.458723
654,55.421,57.800,1770976260.516522
655,58.813,60.963,1770976260.577485
656,55.839,58.055,1770976260.635540
657,48.940,51.082,1770976260.686622
658,53.558,55.827,1770976260.742449
659,53.869,56.066,1770976260.798515
660,54.755,56.828,1770976260.855343
661,59.194,61.006,1770976260.916349
662,53.188,55.192,1770976260.971541
663,53.766,55.929,1770976261.027470
664,56.883,59.033,1770976261.086503
665,49.886,52.002,1770976261.138505
666,55.753,57.929,1770976261.196434
667,58.652,61.064,1770976261.257498
668,56.864,59.009,1770976261.316507
669,57.807,60.034,1770976261.376541
670,56.741,58.869,1770976261.435410
671,48.076,49.877,1770976261.485287
