timestamp,frame_idx,proc_time_ms,fps_instantaneo
1770646127.006542,4680,31.78,31.47
1770646128.0105028,4710,36.07,27.72
1770646129.0105023,4740,32.03,31.22
1770646130.0104675,4770,31.73,31.51
1770646131.014486,4800,35.92,27.84
1770646132.0146396,4830,32.01,31.24
1770646133.0153966,4860,32.95,30.35
1770646134.0187364,4890,35.66,28.04
1770646135.018813,4920,32.18,31.08
1770646136.0184753,4950,31.85,31.39
1770646137.0225666,4980,36.17,27.65
